0: [-79.94164411662581, 40.44159952016121, 289.0587038783791, 5, 63, 0, 24]
1: [-79.94166075723936, 40.44156124125338, 289.3372409255437, 6, 69, 0, 23]
2: [-79.94167739785246, 40.44152296234663, 289.5479903393425, 7, 78, 0, 23]
3: [-79.94169403846509, 40.44148468344095, 289.74186752852984, 8, 85, 0, 23]
4: [-79.94171067907726, 40.44144640453634, 289.93574471236207, 9, 89, 0, 23]
5: [-79.94172731968894, 40.44140812563281, 290.2208331186405, 8, 88, 0, 23]
6: [-79.94174396030016, 40.44136984673035, 290.3615679891342, 8, 85, 0, 23]
7: [-79.94176060091091, 40.441331567828975, 290.5173762307968, 7, 80, 0, 23]
8: [-79.9417772415212, 40.44129328892867, 290.72693407532455, 7, 80, 0, 23]
9: [-79.94179388213101, 40.44125501002944, 290.9658752534501, 6, 86, 0, 23]
10: [-79.94181052274037, 40.44121673113129, 291.09900770010427, 6, 90, 0, 23]
11: [-79.94182716334925, 40.44117845223421, 291.29288484551944, 6, 87, 0, 23]
12: [-79.94184380395767, 40.44114017333821, 291.48676198581234, 6, 80, 0, 23]
13: [-79.94186044456562, 40.44110189444329, 291.68063912028447, 5, 72, 0, 23]
14: [-79.9418770851731, 40.44106361554944, 291.94607356071776, 5, 71, 0, 23]
15: [-79.94189372578012, 40.441025336656665, 292.21394881992325, 5, 68, 0, 23]
16: [-79.94191036638668, 40.440987057764964, 292.8098359597429, 5, 61, 0, 23]
17: [-79.94192700699276, 40.440948778874336, 293.14971661861443, 6, 56, 0, 23]
18: [-79.94194364759836, 40.44091049998479, 293.5942580059385, 7, 56, 0, 23]
19: [-79.94196028820352, 40.44087222109631, 293.8439018144272, 8, 65, 0, 23]
20: [-79.94197692880819, 40.44083394220891, 294.0755578218959, 9, 76, 0, 23]
21: [-79.9419935694124, 40.44079566332259, 294.4633120042272, 8, 81, 0, 24]
22: [-79.94201021001615, 40.44075738443734, 294.7412107907766, 8, 85, 0, 24]
23: [-79.94202685061941, 40.440719105553164, 294.71594750549093, 7, 87, 0, 24]
24: [-79.94204349122224, 40.440680826670075, 294.81328724278137, 6, 85, 0, 24]
25: [-79.94206013182458, 40.44064254778805, 295.0071643120609, 6, 85, 0, 24]
26: [-79.94207741690464, 40.44060443493957, 295.2085500911344, 4, 79, 0, 24]
27: [-79.94209474619721, 40.440566333482465, 295.51823984281, 3, 71, 0, 24]
28: [-79.94211207548926, 40.440528232026516, 295.9093298185363, 2, 55, 0, 24]
29: [-79.94212940478077, 40.44049013057172, 296, 2, 36, 0, 24]
30: [-79.94215066403501, 40.440453245253266, 296, 1, 14, 0, 24]
31: [-79.94217318639483, 40.440416750807046, 296, 1, 132, 0, 24]
32: [-79.9421940204364, 40.44037968261624, 296, 1, 202, 19, 23]
33: [-79.94221690175834, 40.440343440359584, 296, 2, 214, 19, 23]
34: [-79.94224523355479, 40.440309371098785, 295.9809244836758, 3, 251, 19, 23]
35: [-79.94227356534915, 40.44027530184045, 295.6849127114009, 4, 256, 40, 23]
36: [-79.94231031575266, 40.4402463597967, 295.15273948196113, 4, 262, 40, 23]
37: [-79.94235028119284, 40.440220559161645, 295.291505211587, 5, 266, 40, 23]
38: [-79.94239819489603, 40.440203358068764, 295.0400108648777, 5, 267, 40, 23]
39: [-79.94244852859148, 40.4401911511476, 294.5069553325434, 4, 261, 40, 23]
40: [-79.94249964347057, 40.44018055636848, 294, 4, 249, 40, 23]
41: [-79.9425507583459, 40.44016996159014, 294, 3, 234, 52, 22]
42: [-79.9426018732175, 40.44015936681259, 294, 3, 223, 52, 22]
43: [-79.94265298808534, 40.4401487720358, 294, 3, 218, 52, 22]
44: [-79.94270410294943, 40.44013817725979, 293.6240670613606, 4, 223, 52, 22]
45: [-79.94275516120905, 40.44012742642708, 293.0879576974398, 5, 230, 52, 22]
46: [-79.94280618017562, 40.44011656726371, 292.95246805820165, 5, 231, 52, 22]
47: [-79.94285719913837, 40.44010570810114, 292.5408997397389, 5, 223, 52, 22]
48: [-79.94290618248392, 40.440090960593935, 292.07324521468354, 4, 214, 42, 22]
49: [-79.94295303406085, 40.44007214107524, 292, 4, 209, 42, 22]
50: [-79.94299988563264, 40.44005332155861, 291.9654340850856, 4, 216, 42, 22]
51: [-79.94304673719931, 40.440034502044035, 291.3365590732111, 5, 206, 42, 22]
52: [-79.94309358876085, 40.440015682531524, 291, 5, 203, 41, 21]
53: [-79.94313708185872, 40.43999345485677, 291, 5, 187, 41, 21]
54: [-79.94317393939332, 40.43996449341357, 290.61039805803205, 6, 181, 41, 21]
55: [-79.94321079692406, 40.4399355319734, 290.1607012664899, 7, 181, 41, 21]
56: [-79.94324765445097, 40.439906570536245, 289.7617848241702, 7, 174, 44, 22]
57: [-79.94328451197403, 40.439877609102105, 289.3486005273135, 7, 172, 44, 22]
58: [-79.94332136949325, 40.439848647670985, 289, 7, 164, 44, 22]
59: [-79.94335822700863, 40.43981968624289, 289.0507652572359, 6, 156, 44, 22]
60: [-79.94339508452016, 40.43979072481781, 289, 7, 148, 44, 22]
61: [-79.94343194202786, 40.43976176339576, 289, 7, 139, 44, 22]
62: [-79.94346879953171, 40.43973280197672, 289.048038262661, 8, 140, 69, 21]
63: [-79.94350565703172, 40.439703840560696, 288.6723254099844, 8, 144, 69, 21]
64: [-79.94354251452788, 40.439674879147695, 288.4962178892898, 9, 144, 69, 21]
65: [-79.9435793720202, 40.43964591773772, 288.5145953254986, 10, 142, 67, 21]
66: [-79.94361622950868, 40.43961695633077, 288.45981614618137, 11, 134, 67, 21]
67: [-79.9436514975729, 40.43958687693958, 288.45117981377643, 11, 133, 67, 21]
68: [-79.94368653473728, 40.43955663513977, 288.34468363815813, 11, 130, 67, 21]
69: [-79.94372157189822, 40.439526393342945, 288.6540371597667, 11, 130, 67, 21]
70: [-79.94375660905573, 40.43949615154909, 288.67152208169074, 12, 130, 66, 21]
71: [-79.94379164620977, 40.43946590975821, 288.35641635525974, 12, 129, 66, 21]
72: [-79.94382668336037, 40.43943566797031, 288.8886101344299, 13, 132, 66, 21]
73: [-79.94386172050753, 40.43940542618538, 289.0428457562407, 13, 133, 66, 21]
74: [-79.94389675765123, 40.439375184403424, 288.9882437614724, 15, 134, 66, 21]
75: [-79.9439317947915, 40.439344942624444, 288.9335135121364, 16, 131, 71, 22]
76: [-79.94396683192831, 40.43931470084844, 289.0245157372161, 16, 129, 71, 22]
77: [-79.94400186906168, 40.43928445907542, 288.9462887893948, 17, 129, 71, 22]
78: [-79.9440369061916, 40.43925421730536, 288.82525808758135, 18, 131, 71, 22]
79: [-79.94407194331808, 40.43922397553828, 288.9540149185849, 17, 133, 73, 21]
80: [-79.94410711142889, 40.43919382343619, 288.66276413411833, 18, 134, 73, 21]
81: [-79.94414291854457, 40.43916410873809, 288.8173683788776, 17, 137, 73, 21]
82: [-79.94417872565664, 40.439134394042995, 288.5873851731885, 17, 139, 73, 21]
83: [-79.94421453276509, 40.4391046793509, 288.6449383981079, 17, 141, 73, 21]
84: [-79.94425033986992, 40.4390749646618, 288.5052193190477, 17, 144, 71, 21]
85: [-79.94428614697115, 40.439045249975706, 288.0335921764023, 16, 145, 71, 21]
86: [-79.94432195406877, 40.43901553529261, 287.5417395789997, 14, 148, 71, 21]
